id,name,quarter,category,evidence_grade,referral_zones,clinical_note,differentiate_from,source
lq-disc-l34,L3–L4 intervertebral disc,lower,Intervertebral disc,B,Lumbar midline (primary); Lumbar paraspinal (common); Anterior thigh (common); Lateral thigh (spillover); Groin / inguinal (spillover),Midline low back pain with anterior/lateral thigh referral. Discography localises the level poorly — overlap between adjacent levels is the norm.,,"Vanharanta / Ohnmeiss provocation discography series; Carragee et al., Spine 2000 (false-positive rates); DePalma et al., PM&R 2011 (midline vs paramidline)."
lq-disc-l45,L4–L5 intervertebral disc,lower,Intervertebral disc,B,Lumbar midline (primary); Lumbar paraspinal (primary); Upper buttock (common); Posterior thigh (common); Lateral thigh (common); Lateral leg (spillover),"Midline low back pain, buttock and posterolateral leg. DePalma 2011: midline pain was present in 95.8% of confirmed discogenic cases versus 15.4% of facet and 12.9% of SI joint cases — the one location finding with real discriminating value.",L5 radiculopathy; lumbar facet (but midline location favours disc),"Vanharanta / Ohnmeiss provocation discography series; Carragee et al., Spine 2000 (false-positive rates); DePalma et al., PM&R 2011 (midline vs paramidline)."
lq-disc-l5s1,L5–S1 intervertebral disc,lower,Intervertebral disc,B,Lumbar midline (primary); Upper buttock (primary); Posterior thigh (common); Posterior calf (common); Lumbar paraspinal (common); Lateral leg (spillover); Sacroiliac joint region (spillover),"Midline low back, buttock, posterior thigh and calf. Pain extending below the knee correlates with the grade of annular disruption, not with which level is symptomatic.",,"Vanharanta / Ohnmeiss provocation discography series; Carragee et al., Spine 2000 (false-positive rates); DePalma et al., PM&R 2011 (midline vs paramidline)."
lq-facet-l12,L1–L2 facet joint,lower,Zygapophysial (facet) joint,B,Lumbar paraspinal (primary); Flank / lateral trunk (primary); Iliac crest (common); Thoracolumbar junction (common); Greater trochanter / lateral hip (spillover),"Upper lumbar facets refer laterally and proximally — flank, iliac crest and lateral hip — rather than down the leg. McCall's volunteer data put the upper levels in the flank and greater trochanter region.",,"Mooney & Robertson, Clin Orthop 1976 (N=20, 5 volunteers + 15 patients); McCall, Park & O'Brien, Spine 1979 (asymptomatic volunteers); Fukui et al., Clin J Pain 1997 (symptomatic); Marks, Pain 1989."
lq-facet-l23,L2–L3 facet joint,lower,Zygapophysial (facet) joint,B,Lumbar paraspinal (primary); Iliac crest (primary); Flank / lateral trunk (common); Greater trochanter / lateral hip (common); Upper buttock (spillover),Lumbar paraspinal with lateral spread to the iliac crest and trochanter. Level-specific maps overlap heavily — McCall's own conclusion was 'considerable overlap' between levels.,,"Mooney & Robertson, Clin Orthop 1976 (N=20, 5 volunteers + 15 patients); McCall, Park & O'Brien, Spine 1979 (asymptomatic volunteers); Fukui et al., Clin J Pain 1997 (symptomatic); Marks, Pain 1989."
lq-facet-l34,L3–L4 facet joint,lower,Zygapophysial (facet) joint,B,Lumbar paraspinal (primary); Upper buttock (primary); Iliac crest (common); Greater trochanter / lateral hip (common); Lateral thigh (spillover); Groin / inguinal (spillover),"Lumbar paraspinal, iliac crest, upper buttock and greater trochanter, beginning to reach the lateral thigh.",,"Mooney & Robertson, Clin Orthop 1976 (N=20, 5 volunteers + 15 patients); McCall, Park & O'Brien, Spine 1979 (asymptomatic volunteers); Fukui et al., Clin J Pain 1997 (symptomatic); Marks, Pain 1989."
lq-facet-l45,L4–L5 facet joint,lower,Zygapophysial (facet) joint,B,Upper buttock (primary); Lumbar paraspinal (primary); Greater trochanter / lateral hip (primary); Lower buttock / gluteal fold (common); Posterior thigh (common); Lateral thigh (common); Sacroiliac joint region (spillover),One of the two most commonly implicated levels. Buttock and trochanteric referral dominate; Marks (1989) attributed most buttock and trochanteric pain to L4–L5.,,"Mooney & Robertson, Clin Orthop 1976 (N=20, 5 volunteers + 15 patients); McCall, Park & O'Brien, Spine 1979 (asymptomatic volunteers); Fukui et al., Clin J Pain 1997 (symptomatic); Marks, Pain 1989."
lq-facet-l5s1,L5–S1 facet joint,lower,Zygapophysial (facet) joint,B,Upper buttock (primary); Lower buttock / gluteal fold (primary); Posterior thigh (primary); Lumbar paraspinal (common); Sacroiliac joint region (common); Greater trochanter / lateral hip (common); Lateral thigh (spillover),"Buttock and posterior thigh. Whether facet pain can reach below the knee is genuinely contested: Mooney & Robertson saw whole-leg pain in 3 of 20, but that is now widely attributed to large-volume saline rupturing the capsule. Windsor's electrical stimulation — a more specific stimulus — produced smaller, more proximal zones.",SI joint (indistinguishable by pain location alone — DePalma 2011); L5/S1 radiculopathy,"Mooney & Robertson, Clin Orthop 1976 (N=20, 5 volunteers + 15 patients); McCall, Park & O'Brien, Spine 1979 (asymptomatic volunteers); Fukui et al., Clin J Pain 1997 (symptomatic); Marks, Pain 1989."
lq-joint-hip,Hip joint,lower,Peripheral joint / bursa,B,Upper buttock (primary); Groin / inguinal (primary); Anterior thigh (primary); Lateral thigh (common); Anterior knee / patella (common); Greater trochanter / lateral hip (common); Medial thigh (common); Medial knee (spillover); Anterior shin (spillover),"Buttock 71% — more common than groin, which contradicts the classic teaching. Thigh 57%, groin 55%, distal to knee 22%, foot 6%, isolated knee 2%, lower lumbar spine 0%. Fourteen distinct referral patterns were identified: there is no single dominant hip pattern.","L2–L4 radiculopathy; SI joint; greater trochanteric pain syndrome. In adolescents with knee pain, always examine the hip — SCFE presents as knee pain in ~15%.","Lesher et al., Pain Medicine 2008 — fluoroscopically-guided intra-articular injection with pre-injection pain mapping, N=51 symptomatic patients."
lq-joint-knee,Knee joint (intra-articular),lower,Peripheral joint / bursa,C,Anterior knee / patella (primary); Medial knee (common); Lateral knee (common); Anterior thigh (spillover); Posterior calf (spillover); Posterior knee / popliteal fossa (spillover),"Largely local, with referral into the anterior thigh and proximal calf. Graded C because — unlike the hip and SI joint — no controlled provocation mapping study was found for the knee.",,Clinical observation; no controlled volunteer referral-mapping study identified.
lq-joint-sij,Sacroiliac joint,lower,Peripheral joint / bursa,B,Sacroiliac joint region (primary); Upper buttock (primary); Lumbar paraspinal (common); Lower buttock / gluteal fold (common); Posterior thigh (common); Groin / inguinal (spillover); Posterior calf (spillover),"Graded B, not A: only the zone SHAPE — a consistent 3 × 10 cm area immediately caudal to the PSIS — comes from asymptomatic volunteers. Every percentage below comes from a symptomatic patient series. Slipman: buttock 94%, lower lumbar 72%, lower extremity roughly a quarter to a half (secondary sources report 28% and 50% for the same dataset), groin 14%, upper lumbar 6%. So SI pain CAN go below the knee — 'it stays above the knee' is not a safe rule.",L5–S1 facet (DePalma 2011: paramidline location cannot separate the two); lumbar disc,"Zone geometry: Fortin et al., Spine 1994 Part I — 10 ASYMPTOMATIC volunteers (grade-A design). All quoted percentages: Slipman et al., Arch Phys Med Rehabil 2000 — 50 SYMPTOMATIC patients (68 joints; 18 bilateral, 32 unilateral), selected by a single positive intra-articular block."
lq-lig-lumbar-isl,Lumbar &amp; sacral interspinous ligaments,lower,Spinal ligament,C,Lumbar paraspinal (primary); Upper buttock (common); Flank / lateral trunk (common); Sacroiliac joint region (common); Posterior thigh (common); Iliac crest (spillover),"Deep, diffuse, segmentally-organised ache that does NOT follow dermatomes. Upper lumbar levels refer to flank and hip; lower lumbar and sacral levels refer into buttock and posterior thigh, approaching the knee in a minority. Foundational but small-N, non-blinded work.",,"Kellgren, Clin Sci 1939; Feinstein et al., JBJS 1954 (as conventionally reported — the level-specific zones could not be verified against the primary tables)."
lq-m-abd-hallucis,Abductor hallucis,lower,Muscle (myofascial),C,Plantar heel (primary); Medial arch (primary); Medial malleolus (spillover),Medial heel and medial plantar foot.,Tarsal tunnel syndrome; medial-band plantar fasciitis,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-add-longus,Adductor longus / brevis,lower,Muscle (myofascial),C,Groin / inguinal (primary); Medial thigh (primary); Pubic / adductor origin (common); Medial knee (common); Medial leg (spillover),"Deep groin and anteromedial thigh, running down the medial leg to just below the knee.",Adductor strain; osteitis pubis; hip labral pathology,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-add-magnus,Adductor magnus,lower,Muscle (myofascial),C,Medial thigh (primary); Pubic / adductor origin (primary); Perineum / pelvic floor (common); Groin / inguinal (common); Medial knee (spillover),Ischiocondylar portion refers along the posteromedial thigh to the knee; the proximal/pubic portion produces a deep intrapelvic ache that may be perceived intravaginally or intrarectally.,Chronic pelvic pain syndromes; adductor strain,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-biceps-fem,Biceps femoris,lower,Muscle (myofascial),C,Posterior thigh (primary); Posterior knee / popliteal fossa (primary); Lower buttock / gluteal fold (spillover); Posterior calf (spillover),Posterior thigh into the posterior knee and lateral popliteal fossa.,Hamstring strain; S1 radiculopathy,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-edb,Extensor digitorum brevis,lower,Muscle (myofascial),C,Dorsum of foot (primary); Anterior ankle (spillover),Local dorsolateral midfoot pain.,,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-edl,Extensor digitorum longus,lower,Muscle (myofascial),C,Dorsum of foot (primary); Anterior shin (common); Lateral toes (common); Anterior ankle (common),"Dorsum of the foot and anterolateral shin, referring into the dorsal aspect of the middle toes.",,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-peroneals,Fibularis (peroneus) longus / brevis,lower,Muscle (myofascial),C,Lateral malleolus (primary); Lateral leg (primary); Dorsum of foot (common); Lateral toes (spillover),"Lateral malleolus and lateral ankle/foot; longus spills to the lateral foot dorsum, brevis to the lateral shin.",Chronic lateral ankle instability; superficial fibular n. entrapment; L5/S1 radiculopathy,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
